"","sampleID","Age","Sex","BCS","Antibiotics","Glucocorticoids","Cobalamin","Folate","fPLI","fTLI","Group","SubGroup","NonGI_COMORBID","GI_COMORBID_HISTO","3-indoleacetic acid","3-indolepropionic acid","Indole acetamide","Indole acrylate","indole-3-lactic acid","Indole-3-pyruvate","Indole-carboxyaldehyde","Kynurenine","Kynurenic acid","Serotonin","Tryptamine","Trp"
"sam_42","sam_42",10,"FS",6,"NO","NO",721,15.4,2.9,39,"HC","HC","",NA,184.8,34.6,1.4,694,93.8,1150.5,29.3,1199.8,8.5,912.8,"3.5",12740.3
"sam_43","sam_43",8,"FS",7,"NO","NO",1000,9.62,2.3,30.3,"HC","HC","",NA,162,50.1,1.4,726.1,343.1,1230.4,32.3,1043.2,11.5,437.8,"2.9",13772.7
"sam_44","sam_44",3,"MC",6,"NO","NO",1000,24.9,2,27.4,"HC","HC","",NA,465.2,28.6,1.5,648.4,114.7,1146.9,27.9,855.4,7.3,697.4,"3.4",12342.8
"sam_45","sam_45",15,"MC",5,"NO","NO",877,16.3,5.2,56.7,"HC","HC","",NA,435.5,42.9,1.6,783.9,149.5,1143.1,36.8,963.6,6.6,858.6,"3.3",14910.1
"sam_46","sam_46",14,"MC",7,"NO","NO",795,13.3,4.4,29.9,"HC","HC","",NA,94,26.5,1.4,735.4,133.2,1129.2,32.4,887.4,6,722.6,"3.1",13403.8
"sam_47","sam_47",7,"FS",5,"NO","NO",1000,11.4,2,44.6,"HC","HC","",NA,980.1,126.7,1.4,691,285.7,1135.7,28.9,1351.3,9.7,863.1,"3.4",12536.2
"sam_48","sam_48",10,"FS",6,"NO","NO",1000,13.3,1.4,25.5,"HC","HC","",NA,140.5,53.8,1.3,1007.1,256.9,1234.4,44.2,1127.4,8.3,613.9,"3.1",16891.7
"sam_49","sam_49",10,"FS",5,"NO","NO",985,7.34,2.4,36.9,"HC","HC","",NA,449.7,67.3,1.6,928.5,260.4,1187.2,41.1,1071.7,6.2,1213.1,"4",17512.6
"sam_50","sam_50",6,"MC",6,"NO","NO",953,19.2,3,38.7,"HC","HC","",NA,308.6,26.9,1.4,744,168.5,1166.3,30.5,1399.1,12.8,748.6,"3.1",13583.2
"sam_51","sam_51",10,"FS",5,"NO","NO",349,18.4,5.6,29.4,"HC","HC","",NA,447.2,33.4,1.4,694.5,135.3,1132.1,30.6,1032.1,5.7,686.1,"3.2",13117.4
"sam_52","sam_52",12,"MN",6,"NO","NO",NA,NA,NA,NA,"FCE","SCL","",NA,203.4,11,1.4,835.2,176.7,1132.1,36.3,998.2,7.3,794.5,"3.4",15565.8
"sam_53","sam_53",14,"FS",5,"NO","NO",1001,12,1.4,112.8,"FCE","SCL","",NA,201.4,17.3,1.4,397.4,130.2,1112.5,17.9,1217.8,6.3,1874.3,"4.6",7653.4
"sam_54","sam_54",15,"FS",4,"NO","NO",762,35.3,9.9,243.7,"FCE","SCL","",NA,113.8,39.5,1.4,202.7,75.5,1096.3,8.5,1613.4,37.3,907.8,"3.6",4110.3
"sam_55","sam_55",11,"MN",1,"NO","NO",1000,12.5,1.6,83,"FCE","SCL","",NA,51.8,18.5,1.3,470.8,96.6,1113.1,20.5,1391.3,12.6,1148.9,"3.8",8763.9
"sam_56","sam_56",16,"FS",7,"NO","NO",564,15.9,NA,14.3,"FCE","CIE","",NA,527,3.9,1.4,517.6,93.2,1105.2,23,1010.1,6.4,641.1,"3.2",9997.9
"sam_57","sam_57",13,"MN",4,"NO","NO",244,6.8,3.1,20.1,"FCE","CIE","",NA,22.1,9.8,1.3,353.3,92.5,1145.4,12.4,3465.4,25.7,17.2,"ND",5880.5
"sam_58","sam_58",6,"MN",5,"NO","NO",182,22.6,1.5,31.4,"FCE","CIE","",NA,207,47.6,1.4,465.9,72.6,1105.9,20.2,1714.8,19.3,1224.2,"4.1",8734.7
"sam_59","sam_59",2,"MN",4,"NO","NO",1000,38.5,2.3,28.2,"FCE","CIE","",NA,301.5,24.7,1.4,1239.3,267.9,1139.3,49.7,1664.7,16.2,1706.4,"4.6",21259.3
"sam_60","sam_60",11,"MN",3,"NO","NO",1000,18.6,51,127,"FCE","SCL","",NA,87.6,13.5,1.4,351.6,68.5,1119.1,15.9,1260.1,6.6,1230.3,"4",6992
"sam_61","sam_61",12,"MN",9,"NO","NO",149,19.5,1.3,15.4,"FCE","SCL","",NA,445.7,185,1.5,609.8,216.9,1118.8,27.2,1047.2,7.5,977.9,"3.7",11767
"sam_62","sam_62",7,"MN",3,"NO","NO",218,8,1.9,29.2,"FCE","CIE","",NA,1520.3,27.7,1.4,165,104.1,1110.6,6.4,2261,21.1,1240.2,"3.8",3217.1
"sam_63","sam_63",8,"MN",6,"NO","NO",748,16.8,2.4,71.9,"FCE","CIE","",NA,190.3,13.7,1.4,870.7,99.3,1134.8,35.9,2321.4,14,511.1,"3.3",15292.7
